,word,frequency
0,be,58406
1,lesson,23708
2,learn,22275
3,use,19559
4,video,17263
5,number,16987
6,student,10313
7,problem,9601
8,function,9523
9,equation,9258
10,topic,9245
11,module,9123
12,have,8954
13,practice,8822
14,unit,8688
15,chapter,8548
16,do,7627
17,make,7532
18,find,7302
19,solve,7011
20,example,6995
21,more,6292
22,introduction,5678
23,value,5589
24,exercise,5537
25,fraction,5472
26,give,5029
27,part,5022
28,know,5006
29,book,4989
30,area,4892
31,different,4846
32,form,4827
33,not,4808
34,x,4703
35,word,4520
36,work,4502
37,point,4444
38,system,4438
39,time,4409
40,line,4384
41,angle,4289
42,mathematics,4285
43,version,4067
44,decimal,3984
45,basic,3956
46,triangle,3914
47,level,3911
48,first,3883
49,write,3812
50,math,3726
51,expression,3716
52,http,3683
53,sal,3633
54,b,3590
55,also,3555
56,other,3483
57,’,3478
58,students,3403
59,c,3343
60,linear,3333
61,calculate,3277
62,change,3274
63,variable,3192
64,read,3136
65,help,3132
66,energy,3114
67,multiplication,3108
68,question,3087
69,way,3086
70,identify,3083
71,up,3077
72,data,3068
73,model,3068
74,see,3035
75,add,2988
76,property,2958
77,base,2954
78,take,2924
79,water,2871
80,tutorial,2870
81,out,2856
82,simple,2846
83,cell,2832
84,graph,2828
85,step,2825
86,life,2820
87,world,2789
88,determine,2786
89,get,2786
90,show,2703
91,common,2703
92,include,2692
93,table,2636
94,sum,2633
95,digit,2625
96,kb,2616
97,create,2611
98,square,2595
99,division,2591
100,same,2583
101,solution,2580
102,right,2554
103,test,2520
104,algebra,2493
105,rule,2483
106,understand,2465
107,multiply,2461
108,group,2460
109,concept,2449
110,activity,2446
111,explain,2445
112,type,2435
113,formula,2430
114,reading,2426
115,text,2410
116,length,2405
117,new,2404
118,method,2393
119,let,2368
120,then,2352
121,side,2345
122,knowledge,2344
123,s,2343
124,information,2342
125,relationship,2334
126,need,2327
127,compare,2292
128,law,2287
129,a,2274
130,overview,2253
131,understanding,2251
132,subtract,2247
133,factor,2236
134,'s,2230
135,addition,2205
136,real,2198
137,theorem,2181
138,subtraction,2180
139,polynomial,2179
140,structure,2158
141,figure,2153
142,small,2150
143,series,2141
144,order,2128
145,mean,2128
146,power,2112
147,set,2111
148,divide,2098
149,explore,2082
150,study,2069
151,english,2061
152,here,2061
153,circle,2048
154,free,2038
155,represent,2030
156,negative,2027
157,term,2026
158,volume,2020
159,object,2016
160,measure,2008
161,end,1996
162,product,1982
163,only,1980
164,present,1972
165,hindi,1935
166,define,1922
167,vector,1914
168,technique,1912
169,many,1894
170,idea,1890
171,body,1876
172,second,1871
173,ela,1870
174,source,1869
175,=,1869
176,probability,1868
177,teacher,1861
178,rational,1860
179,well,1856
180,difference,1844
181,force,1839
182,material,1839
183,geometry,1829
184,good,1815
185,numbers,1814
186,go,1813
187,resource,1810
188,reaction,1806
189,relate,1794
190,want,1793
191,ii,1763
192,f,1761
193,/,1748
194,d,1741
195,*,1732
196,derivative,1730
197,such,1730
198,place,1729
199,apply,1716
200,involve,1715
201,equal,1703
202,program,1701
203,process,1699
204,teach,1694
205,whole,1693
206,describe,1690
207,class,1679
208,skill,1675
209,complex,1665
210,learning,1662
211,most,1655
212,look,1646
213,people,1643
214,exponential,1641
215,human,1638
216,matrix,1637
217,discover,1632
218,objective,1618
219,using,1618
220,movement,1615
221,provide,1610
222,calculation,1609
223,writing,1599
224,build,1593
225,develop,1583
226,problems,1579
227,straight,1577
228,call,1576
229,name,1575
230,shape,1568
231,+,1560
232,important,1544
233,grade,1529
234,root,1527
235,additional,1527
236,rate,1521
237,allow,1520
238,watch,1518
239,natural,1518
240,analyze,1514
241,very,1512
242,quadratic,1512
243,review,1504
244,advice,1497
245,language,1497
246,play,1494
247,limit,1490
248,e,1489
249,image,1486
250,answer,1481
251,school,1477
252,year,1476
253,guide,1452
254,standard,1451
255,so,1440
256,definition,1437
257,distance,1434
258,start,1434
259,exercises,1424
260,situation,1422
261,plane,1422
262,balloon,1421
263,multiple,1416
264,distribution,1413
265,health,1413
266,plan,1411
267,|,1405
268,curve,1405
269,integral,1392
270,application,1386
271,numerical,1381
272,chemical,1379
273,speed,1378
274,high,1376
275,content,1368
276,trigonometric,1367
277,now,1367
278,purpose,1366
279,equations,1364
280,spanish.pdf,1362
281,think,1346
282,long,1341
283,functions,1334
284,geometric,1333
285,coordinate,1330
286,diagram,1324
287,light,1317
288,history,1314
289,position,1312
290,back,1307
291,analysis,1304
292,sport,1303
293,art,1299
294,event,1297
295,mass,1288
296,acid,1286
297,v0.1,1274
298,transformation,1268
299,],1266
300,degree,1265
301,count,1260
302,rectangle,1256
303,tell,1254
304,tool,1242
305,draw,1240
306,earth,1236
307,move,1235
308,field,1231
309,parallel,1230
310,section,1227
311,business,1221
312,dr.,1220
313,sound,1212
314,various,1202
315,space,1201
316,balance,1195
317,complete,1179
318,story,1179
319,as,1179
320,chart,1175
321,o,1175
322,chemistry,1174
323,prepare,1173
324,surface,1169
325,science,1165
326,measurement,1164
327,course,1153
328,support,1149
329,improve,1148
330,thing,1143
331,state,1137
332,general,1132
333,positive,1126
334,less,1124
335,sequence,1121
336,domain,1119
337,[,1117
338,meaning,1114
339,summary,1112
340,food,1110
341,great,1110
342,social,1107
343,element,1106
