epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6007266640663147,0.6658932566642761,0.6658932566642761,0.595734179019928,0.6276624202728271,0.5478500127792358,0.5494333505630493,0.6860073804855347,0.6848592162132263,0.5427500009536743,0.5440333485603333,0.6888318061828613,0.6878654956817627,0.5392706990242004,0.5410770177841187,0.5893505811691284,0.5822198390960693,0.5433222651481628,0.5453906059265137,0.600673258304596,0.5945072174072266,0.5225080251693726,0.5310416221618652,0.692278265953064,0.6886852979660034,0.5261214971542358,0.5367661118507385,0.6922956109046936,0.6886921525001526,0.000481545488582924,0.0004926108522340655,0.5,0.5,5.6198718084488064e-05,2.8612303140107542e-05,0.6666666865348816,0.3333333432674408
1,0.7025266885757446,0.5647298693656921,0.6153115630149841,0.6850537657737732,0.750059962272644,0.5990666747093201,0.6019583344459534,0.6556760668754578,0.6524995565414429,0.590233325958252,0.5924249887466431,0.6642206907272339,0.6621805429458618,0.5805842876434326,0.5838868618011475,0.6512336730957031,0.6444029808044434,0.5867522358894348,0.5904034376144409,0.6702219843864441,0.6660389304161072,0.5513625741004944,0.5611708164215088,0.6764001250267029,0.6694746017456055,0.5530282855033875,0.5634177923202515,0.6785709857940674,0.6718467473983765,0.0005854712799191475,0.0006147509557195008,0.6290322542190552,0.6451612710952759,7.476411701645702e-05,6.114992720540613e-05,0.8333333134651184,0.6666666865348816
2,0.7455800175666809,0.5062661170959473,0.5789631009101868,0.7081540822982788,0.8358256816864014,0.6224722266197205,0.6264777779579163,0.6401676535606384,0.6363759636878967,0.6124722361564636,0.6151111125946045,0.6516847610473633,0.6494131088256836,0.5966408848762512,0.6007730960845947,0.6952306032180786,0.6870667934417725,0.6031855940818787,0.6081472635269165,0.7160998582839966,0.7113891243934631,0.5431487560272217,0.5550770163536072,0.6966599822044373,0.6857048869132996,0.549871563911438,0.5619792938232422,0.6914258003234863,0.6809189915657043,0.0006161245983093977,0.0006331505137495697,0.6458333134651184,0.6458333134651184,9.789141768123955e-05,9.046590275829658e-05,0.8333333134651184,0.75
3,0.7757599949836731,0.46263542771339417,0.5498811602592468,0.7321516871452332,0.8699082732200623,0.6403041481971741,0.642425000667572,0.626650333404541,0.6248310804367065,0.6287458539009094,0.6289583444595337,0.6414632201194763,0.6415573954582214,0.6081501245498657,0.6106510162353516,0.7247638702392578,0.7124685645103455,0.6154848337173462,0.6192306280136108,0.7479209899902344,0.7398467063903809,0.5423895120620728,0.5532510876655579,0.7141553163528442,0.7024024128913879,0.5438535213470459,0.5556625723838806,0.714508056640625,0.7018786668777466,0.0006251148879528046,0.0006417225231416523,0.6910569071769714,0.6910569071769714,0.00010994487820426002,0.00010511141590541229,0.7894737124443054,0.7368420958518982
4,0.7934333086013794,0.4318316578865051,0.5262712240219116,0.7479033470153809,0.8854960799217224,0.6556566953659058,0.6530966758728027,0.6115016937255859,0.614954948425293,0.6438800096511841,0.6389899849891663,0.6272555589675903,0.633285641670227,0.6203258037567139,0.6181542277336121,0.7424662709236145,0.7278918623924255,0.6273612976074219,0.6267757415771484,0.7668868899345398,0.7570543885231018,0.547601580619812,0.5506930351257324,0.7126064300537109,0.7095600962638855,0.5533463954925537,0.5579666495323181,0.7076408267021179,0.7020962238311768,0.0006909106159582734,0.000679941731505096,0.7324841022491455,0.7133758068084717,0.00012455515388865024,0.00011347077088430524,0.807692289352417,0.7307692170143127
5,0.8058666586875916,0.4102485775947571,0.5069341063499451,0.7659251689910889,0.8811447024345398,0.6682721972465515,0.6622889041900635,0.5981301665306091,0.606650173664093,0.6567027568817139,0.647350013256073,0.6149213910102844,0.6269176602363586,0.6312367916107178,0.6250800490379333,0.7543677687644958,0.7370578050613403,0.6377286911010742,0.6340489983558655,0.7792918682098389,0.7677651047706604,0.5593974590301514,0.5576353073120117,0.7045382857322693,0.7074078917503357,0.56483393907547,0.5646840333938599,0.6983428597450256,0.6986358761787415,0.0007707564509473741,0.0007499756175093353,0.75,0.7300000190734863,0.00012687392882071435,0.00011626143532339483,0.8333333134651184,0.7666666507720947
6,0.8108466863632202,0.40103405714035034,0.4918055534362793,0.7629024982452393,0.9022046327590942,0.6792404651641846,0.6695452332496643,0.5862005949020386,0.5998765826225281,0.6672428846359253,0.6538833379745483,0.6036099195480347,0.6214576959609985,0.6405467987060547,0.630491316318512,0.7628068923950195,0.7441665530204773,0.6470193266868591,0.6396566033363342,0.7889361381530762,0.7766752243041992,0.571509063243866,0.5638380646705627,0.6942547559738159,0.7049740552902222,0.5739367604255676,0.5664236545562744,0.6917914152145386,0.7015950083732605,0.0008141820435412228,0.0007824276690371335,0.7573221921920776,0.7405857443809509,0.0001297138660447672,0.00011425306729506701,0.8529411554336548,0.7647058963775635
7,0.81795334815979,0.3870275914669037,0.47870829701423645,0.7710342407226562,0.9047022461891174,0.6888979077339172,0.6756687760353088,0.574899435043335,0.5933061838150024,0.6760291457176208,0.6592812538146973,0.5938026905059814,0.6167412996292114,0.6484519243240356,0.6352495551109314,0.769460141658783,0.7487431764602661,0.6555285453796387,0.6447696089744568,0.7962735891342163,0.7824954986572266,0.5819748044013977,0.5700918436050415,0.6852885484695435,0.7011615037918091,0.5848411917686462,0.5722418427467346,0.6811808943748474,0.6971097588539124,0.0008280553156509995,0.0007841077167540789,0.7592592835426331,0.7407407164573669,0.00012436513497959822,0.00010922779620159417,0.8611111044883728,0.7777777910232544
8,0.8245999813079834,0.3736018240451813,0.46702978014945984,0.78812575340271,0.8880491852760315,0.6980925798416138,0.6819499731063843,0.5637333989143372,0.5861589908599854,0.6842573881149292,0.6644851565361023,0.5843935012817383,0.6117013096809387,0.657036542892456,0.6409338116645813,0.7714316248893738,0.7486218214035034,0.6646942496299744,0.6510940790176392,0.7995822429656982,0.7841649055480957,0.5977792143821716,0.5815156102180481,0.666510283946991,0.6873751878738403,0.5984560251235962,0.5817933678627014,0.6650393605232239,0.6858426928520203,0.0008389573195017874,0.000780637317802757,0.7583892345428467,0.7348993420600891,0.0001519480865681544,0.00012823801080230623,0.8723404407501221,0.7659574747085571
9,0.8302933573722839,0.36648693680763245,0.456975519657135,0.797425389289856,0.8857778906822205,0.7049233317375183,0.6864283084869385,0.5553953051567078,0.581556499004364,0.6907783150672913,0.668304979801178,0.5769017934799194,0.6084531545639038,0.6637428402900696,0.6449182629585266,0.7738093137741089,0.7495551705360413,0.6714591383934021,0.655357837677002,0.8025984764099121,0.7865263819694519,0.6076869368553162,0.5874719619750977,0.6555482149124146,0.6821720004081726,0.6063706278800964,0.5847928524017334,0.6566631197929382,0.6846018433570862,0.0008486186852678657,0.0007819593301974237,0.7638036608695984,0.7423312664031982,0.00018465642642695457,0.00015610313857905567,0.8999999761581421,0.800000011920929
