epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6279837489128113,0.6339765191078186,0.6339765191078186,0.3,0.6101083159446716,0.7097053527832031,0.5216500163078308,0.5147333145141602,0.6977120041847229,0.6974471211433411,0.5911166667938232,0.5913500189781189,0.6712474822998047,0.6714977622032166,0.5664693713188171,0.5673873424530029,0.7806965112686157,0.7732720971107483,0.5166628360748291,0.5109221935272217,0.6712999939918518,0.6891999840736389,0.3186678886413574,0.2829771041870117,0.7475730776786804,0.7562814950942993,0.4125239849090576,0.421661376953125,0.7730771899223328,0.765150249004364,0.0013688317267224193,0.0013904338702559471,0.8450704216957092,0.8450704216957092,7.876961899455637e-05,7.484889647457749e-05,0.6666666865348816,0.6666666865348816
1,0.7076610326766968,0.5578222870826721,0.5958994030952454,0.3,0.7140113711357117,0.6936042904853821,0.5495083332061768,0.5479416847229004,0.6879475116729736,0.6866660118103027,0.615024983882904,0.612416684627533,0.656641960144043,0.6585078239440918,0.5884755253791809,0.5881626009941101,0.7677066922187805,0.7526389360427856,0.532922089099884,0.531464159488678,0.8018965125083923,0.8102959990501404,0.27787840366363525,0.2623072862625122,0.8176971077919006,0.8213263750076294,0.48206737637519836,0.49296918511390686,0.7232758402824402,0.7113094329833984,0.0014103277353569865,0.0014274385757744312,0.8195488452911377,0.8120300769805908,0.00011147547047585249,0.00011821405496448278,0.800000011920929,0.8666666746139526
2,0.7370982766151428,0.5126952528953552,0.5681646466255188,0.3,0.7068765163421631,0.8108594417572021,0.5855888724327087,0.5820721983909607,0.6660884022712708,0.6664417386054993,0.6302499771118164,0.6241333484649658,0.6439354419708252,0.6499256491661072,0.5995329022407532,0.5968674421310425,0.7865587472915649,0.7669541835784912,0.5580568313598633,0.5553624033927917,0.8229673504829407,0.823578417301178,0.3323717415332794,0.32373976707458496,0.8033780455589294,0.8040974736213684,0.4919964075088501,0.49661654233932495,0.7255377173423767,0.7161543369293213,0.0014335215091705322,0.0014555136440321803,0.802955687046051,0.807881772518158,0.0001272699300898239,0.00013225676957517862,0.8636363744735718,0.9090909361839294
3,0.7524336576461792,0.4921947419643402,0.5491721630096436,0.3,0.7307364344596863,0.7999733686447144,0.5928166508674622,0.5886666774749756,0.6980273127555847,0.7027460336685181,0.6431541442871094,0.6312500238418579,0.6328481435775757,0.6459000110626221,0.6108688116073608,0.6038705706596375,0.7906054854393005,0.7650629281997681,0.5604944825172424,0.5575637817382812,0.8602176308631897,0.8590927124023438,0.31018462777137756,0.3033248782157898,0.963586688041687,0.9665026664733887,0.5152289867401123,0.5134813189506531,0.7085975408554077,0.7054904699325562,0.001417027786374092,0.0014050748432055116,0.7915058135986328,0.7876448035240173,0.0001021087882691063,0.00010591690079309046,0.875,0.9166666865348816
4,0.7703360319137573,0.4670054614543915,0.5327388048171997,0.3,0.7570170164108276,0.7964271306991577,0.6159999966621399,0.6064633131027222,0.6730237603187561,0.685409426689148,0.655513346195221,0.6374566555023193,0.6206879019737244,0.6411947011947632,0.6226756572723389,0.6105827689170837,0.790913462638855,0.7607537508010864,0.5777018070220947,0.5709054470062256,0.8626149296760559,0.8573952317237854,0.36041271686553955,0.3464691638946533,0.9135988354682922,0.9254566431045532,0.5382280945777893,0.5314494967460632,0.6890338659286499,0.690686821937561,0.001468624803237617,0.0014302877243608236,0.8083066940307617,0.7987220287322998,0.00010488292900845408,0.00010675031808204949,0.8928571343421936,0.9285714030265808
5,0.7705027461051941,0.46549105644226074,0.5215308666229248,0.3,0.756953239440918,0.7975889444351196,0.6347416639328003,0.620211124420166,0.6530803442001343,0.6694867014884949,0.664816677570343,0.6419055461883545,0.6108468174934387,0.6377008557319641,0.6318598389625549,0.6154643297195435,0.7911943793296814,0.7580789923667908,0.5945969223976135,0.5838813781738281,0.8470704555511475,0.8369266390800476,0.41277220845222473,0.3945220410823822,0.8415840268135071,0.85781329870224,0.5547572374343872,0.5410645604133606,0.673518717288971,0.6831414699554443,0.0015251091681420803,0.0014456845819950104,0.8021107912063599,0.7836411595344543,0.00011042655387427658,0.0001107906355173327,0.8787878751754761,0.9090909361839294
6,0.7882384061813354,0.4454474151134491,0.510661780834198,0.3,0.7779776453971863,0.8070105314254761,0.6462119221687317,0.6280618906021118,0.6382514238357544,0.6595136523246765,0.6732333302497864,0.6465166807174683,0.601655900478363,0.633685290813446,0.6409572958946228,0.6210013628005981,0.7891005873680115,0.7536335587501526,0.6030327081680298,0.5893014669418335,0.8559109568595886,0.8452689051628113,0.4259569048881531,0.40018555521965027,0.828988254070282,0.8546482920646667,0.5680684447288513,0.5482966303825378,0.6599429249763489,0.6771256327629089,0.0016398964216932654,0.001525947474874556,0.8114035129547119,0.7894737124443054,0.00012687219714280218,0.00012461617006920278,0.9047619104385376,0.9285714030265808
7,0.7855713963508606,0.4387855529785156,0.5016772747039795,0.3,0.7683933973312378,0.8181454539299011,0.6564291715621948,0.6351000070571899,0.6261087656021118,0.652429461479187,0.679214596748352,0.6493645906448364,0.5952982902526855,0.6323919296264648,0.6467670798301697,0.6241128444671631,0.7910205721855164,0.7526715397834778,0.6109081506729126,0.5945640802383423,0.8617984652519226,0.8496118783950806,0.4431328773498535,0.41333240270614624,0.8166480660438538,0.8479374051094055,0.5759804844856262,0.5524510741233826,0.6544185280799866,0.6764976382255554,0.0016276414971798658,0.0015048515051603317,0.8062622547149658,0.78669273853302,0.0001475605822633952,0.00014006602577865124,0.9245283007621765,0.9245283007621765
8,0.789271891117096,0.43812257051467896,0.49461567401885986,0.3,0.7737216949462891,0.8179152011871338,0.6632277965545654,0.6386814713478088,0.6179320812225342,0.6493664383888245,0.6854037046432495,0.6526833176612854,0.5879620909690857,0.6294106245040894,0.6533164978027344,0.6277650594711304,0.7912329435348511,0.7517086863517761,0.615563690662384,0.5964192748069763,0.8696115612983704,0.8580385446548462,0.44717270135879517,0.4114207625389099,0.8187814354896545,0.8592202663421631,0.586155116558075,0.5581466555595398,0.6452054381370544,0.6734767556190491,0.0016227283049374819,0.0014931007754057646,0.796819806098938,0.7826855182647705,0.00015099752636160702,0.00013929481792729348,0.9333333373069763,0.9166666865348816
9,0.7993398904800415,0.42198997735977173,0.4873530864715576,0.3,0.778466522693634,0.8370434641838074,0.6712083220481873,0.6450300216674805,0.6101704835891724,0.644607424736023,0.6903799772262573,0.6553583145141602,0.5822955369949341,0.6270453333854675,0.6583942770957947,0.6306871175765991,0.7924631834030151,0.7511889934539795,0.625555694103241,0.6046654582023621,0.8531527519226074,0.8380340337753296,0.47943350672721863,0.44376954436302185,0.7772785425186157,0.8181336522102356,0.5939204692840576,0.5639563202857971,0.6381610631942749,0.6691716909408569,0.0016500778729096055,0.001493913703598082,0.7923930287361145,0.7702060341835022,0.00015205206000246108,0.00013989285798743367,0.8939393758773804,0.8787878751754761
10,0.7957060933113098,0.4262557923793793,0.48179876804351807,0.3,0.7816624641418457,0.8209382891654968,0.6783439517021179,0.6501908898353577,0.6011653542518616,0.6386874914169312,0.6950969696044922,0.6579636335372925,0.576627790927887,0.6249194145202637,0.6631619930267334,0.6335551738739014,0.7940366864204407,0.7507531046867371,0.6319994330406189,0.6093416810035706,0.8540180325508118,0.8371466398239136,0.49333205819129944,0.4551211893558502,0.7631282806396484,0.8075441718101501,0.6019963026046753,0.5700538754463196,0.6309646368026733,0.6641830801963806,0.0016926636453717947,0.0015162035124376416,0.7979797720909119,0.7720057964324951,0.00015405613521579653,0.00013877853052690625,0.9014084339141846,0.8732394576072693
11,0.8066408634185791,0.4062778055667877,0.47550535202026367,0.3,0.7969294190406799,0.8232706785202026,0.6849708557128906,0.6551680564880371,0.5940251350402832,0.634073793888092,0.6992944478988647,0.6603333353996277,0.5717105269432068,0.6232053637504578,0.6677992343902588,0.636410117149353,0.7942017912864685,0.7494248151779175,0.640024721622467,0.615598201751709,0.8455882668495178,0.8264788389205933,0.5148633122444153,0.4750354588031769,0.7336969375610352,0.7806724905967712,0.6072871088981628,0.5730878710746765,0.6253957748413086,0.6617423892021179,0.001723177032545209,0.0015357487136498094,0.7994722723960876,0.7744063138961792,0.00015670333232264966,0.00013842893531545997,0.8947368264198303,0.8552631735801697
12,0.8050073385238647,0.4098649322986603,0.4704560935497284,0.3,0.7935847640037537,0.8252330422401428,0.6904974579811096,0.658687174320221,0.5863262414932251,0.6290762424468994,0.7031282186508179,0.6621217727661133,0.5669804215431213,0.6218509078025818,0.671950101852417,0.6384972333908081,0.7947901487350464,0.7487555742263794,0.6447650194168091,0.6183591485023499,0.8485751152038574,0.8292102217674255,0.5239777565002441,0.4797409772872925,0.7222365140914917,0.7753065824508667,0.6143071055412292,0.5775150060653687,0.6177644729614258,0.6586859822273254,0.0017558112740516663,0.0015568759990856051,0.804161548614502,0.7809057235717773,0.00016259316180367023,0.00014282087795436382,0.9036144614219666,0.8674699068069458
13,0.8088411688804626,0.40918540954589844,0.46607962250709534,0.3,0.7954371571540833,0.831800639629364,0.6956214308738708,0.6628237962722778,0.5794397592544556,0.6234657168388367,0.706298828125,0.6639857292175293,0.5635263323783875,0.6207236647605896,0.6754487156867981,0.6408171653747559,0.7951822280883789,0.7475562691688538,0.6509872078895569,0.6235036849975586,0.8435419797897339,0.8221557140350342,0.5407041907310486,0.49620378017425537,0.7044327855110168,0.7577984929084778,0.6200990080833435,0.5826504826545715,0.611903965473175,0.6535996794700623,0.0018088649958372116,0.0015827430179342628,0.8040313720703125,0.7726763486862183,0.0001627376623218879,0.00014456172357313335,0.8764045238494873,0.8539325594902039
14,0.8109081387519836,0.40156376361846924,0.46177855134010315,0.3,0.7989882230758667,0.8312458395957947,0.6998355388641357,0.665867805480957,0.5734411478042603,0.6190893650054932,0.7092244625091553,0.6655377745628357,0.5602013468742371,0.6194224953651428,0.6789593696594238,0.6428831219673157,0.7947186827659607,0.7460910677909851,0.6548336744308472,0.6260812282562256,0.845268964767456,0.8237930536270142,0.5477465391159058,0.500071108341217,0.6969276666641235,0.7543299198150635,0.6261205077171326,0.5880628228187561,0.6054481267929077,0.6480445265769958,0.0018658945336937904,0.0016310453647747636,0.8059855699539185,0.776057779788971,0.00016809580847620964,0.0001484905806137249,0.8854166865348816,0.8645833134651184
15,0.8165422081947327,0.38973522186279297,0.4572758376598358,0.3,0.8006322979927063,0.8434585928916931,0.7037062644958496,0.6683771014213562,0.569214940071106,0.6173833012580872,0.7120000123977661,0.6666374802589417,0.5569295287132263,0.6189386248588562,0.6820499897003174,0.6443606019020081,0.7951741218566895,0.7450583577156067,0.6581985950469971,0.6281148791313171,0.847639799118042,0.8256458044052124,0.5526196360588074,0.5022390484809875,0.6987021565437317,0.7614344358444214,0.6310513615608215,0.5910652279853821,0.6010234951972961,0.6467222571372986,0.0019110477296635509,0.0016631914768368006,0.8049713373184204,0.7762906551361084,0.00017429863510187715,0.0001532915630377829,0.8942307829856873,0.875
