epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6491198539733887,0.6205539703369141,0.6205539703369141,0.3,0.6264578104019165,0.7405754923820496,0.5167666673660278,0.5210833549499512,0.694853663444519,0.6943958401679993,0.617816686630249,0.6163833141326904,0.6511680483818054,0.6512550711631775,0.5920137166976929,0.5922092199325562,0.7595856189727783,0.7490256428718567,0.5168490409851074,0.5215618014335632,0.5162978172302246,0.5115317702293396,0.5278616547584534,0.536207377910614,0.6927573084831238,0.6905494332313538,0.48563647270202637,0.4956996738910675,0.6945534348487854,0.687259316444397,0.001797670847736299,0.0017805416136980057,0.7666666507720947,0.7444444298744202,0.00014208581706043333,0.00011572064977372065,0.625,0.5
1,0.7146952748298645,0.5457111597061157,0.5831325650215149,0.3,0.7046059966087341,0.7400053143501282,0.5544750094413757,0.5632166862487793,0.6816670894622803,0.678528904914856,0.6326249837875366,0.6321083307266235,0.6412229537963867,0.6418428421020508,0.6067244410514832,0.6087295413017273,0.7555333375930786,0.7411608099937439,0.541837751865387,0.5498698949813843,0.7058862447738647,0.6973534822463989,0.40731796622276306,0.43007418513298035,0.7576558589935303,0.7479703426361084,0.5208442211151123,0.5342350006103516,0.6801125407218933,0.6651289463043213,0.0015384400030598044,0.0014965536538511515,0.7801418304443359,0.73758864402771,9.054997644852847e-05,8.239656017394736e-05,0.7272727489471436,0.6363636255264282
2,0.7430657148361206,0.5109449028968811,0.5590700507164001,0.3,0.7411710619926453,0.7478353381156921,0.566872239112854,0.5698722004890442,0.6901795864105225,0.6923243403434753,0.6450111269950867,0.638438880443573,0.6305041313171387,0.6370284557342529,0.6206045150756836,0.6174229383468628,0.7476963400840759,0.7294890880584717,0.5671818256378174,0.5722672343254089,0.5647304654121399,0.5534532070159912,0.5733070373535156,0.5885539054870605,0.6053028106689453,0.5977941155433655,0.5523263812065125,0.5595003366470337,0.6571569442749023,0.646529495716095,0.001417236402630806,0.0013593710027635098,0.7759562730789185,0.7322404384613037,0.00012577693269122392,0.00011957041715504602,0.6000000238418579,0.550000011920929
3,0.7539671659469604,0.49200719594955444,0.5423043370246887,0.3,0.7494440674781799,0.7635261416435242,0.5974041819572449,0.593583345413208,0.6626848578453064,0.6691741943359375,0.6560291647911072,0.643345832824707,0.6207566857337952,0.6354228258132935,0.6319803595542908,0.6236792206764221,0.7485491633415222,0.7243949174880981,0.5979868769645691,0.5967944860458374,0.5945535898208618,0.5771211385726929,0.6091789603233337,0.6179071068763733,0.5794154405593872,0.5763711929321289,0.577526867389679,0.5773155689239502,0.6370999813079834,0.6355705857276917,0.001403970760293305,0.0013479226035997272,0.7729257345199585,0.7423580884933472,0.00013732019579038024,0.00013168060104362667,0.6153846383094788,0.5769230723381042
4,0.7706694006919861,0.46433061361312866,0.5267096161842346,0.3,0.7550392746925354,0.8014931082725525,0.6184700131416321,0.6099500060081482,0.6428889036178589,0.6544486284255981,0.6658666729927063,0.6476500034332275,0.6108266115188599,0.6326996088027954,0.6420194506645203,0.6287716627120972,0.7511523365974426,0.7224642038345337,0.6112247705459595,0.6049829721450806,0.6511519551277161,0.633726179599762,0.5990043878555298,0.5954326391220093,0.5934715867042542,0.6010611653327942,0.5910826921463013,0.5837942361831665,0.6305321455001831,0.636570155620575,0.0015012751100584865,0.0014107824536040425,0.7582781314849854,0.7251655459403992,0.00013383566692937165,0.0001260231074411422,0.625,0.59375
5,0.7766702175140381,0.45878154039382935,0.5153882503509521,0.3,0.7563778162002563,0.8163333535194397,0.6352611184120178,0.6221333146095276,0.6285032629966736,0.6433928608894348,0.6740722060203552,0.6518666744232178,0.6011636853218079,0.6286453604698181,0.6505473852157593,0.6332775950431824,0.7533915638923645,0.7230005860328674,0.6285284757614136,0.6176407933235168,0.6615316867828369,0.6413159370422363,0.6177058815956116,0.6082308292388916,0.5721845626831055,0.5846100449562073,0.6015399098396301,0.5885695219039917,0.6223160624504089,0.6351392865180969,0.0015809834003448486,0.001471642404794693,0.7519999742507935,0.7226666808128357,0.00012868356134276837,0.00011986506433458999,0.6470588445663452,0.6176470518112183
6,0.7743698954582214,0.4593847393989563,0.5073877573013306,0.3,0.7544747591018677,0.8141734600067139,0.6448500156402588,0.6286595463752747,0.6223757863044739,0.6418492197990417,0.6806095242500305,0.6547262072563171,0.5942401885986328,0.6272775530815125,0.6562641263008118,0.6358662247657776,0.7596182227134705,0.7254703044891357,0.6306450963020325,0.6169370412826538,0.6993124485015869,0.6788945198059082,0.5994790196418762,0.5845701694488525,0.6144974827766418,0.6327943801879883,0.6057891249656677,0.5900521874427795,0.6231908798217773,0.6382732391357422,0.0017240374581888318,0.0015834461664780974,0.7734204530715942,0.7385621070861816,0.00013399244926404208,0.0001199588441522792,0.6666666865348816,0.6190476417541504
7,0.787038266658783,0.4413287937641144,0.49913036823272705,0.3,0.7777849435806274,0.8040117025375366,0.656139612197876,0.6369916796684265,0.6116741895675659,0.6361266374588013,0.6866833567619324,0.6575062274932861,0.5870245695114136,0.624881386756897,0.6628183722496033,0.6393159031867981,0.7610376477241516,0.7241060733795166,0.643171489238739,0.6267386674880981,0.7015119791030884,0.677538275718689,0.6181721091270447,0.6019670367240906,0.5918152928352356,0.6120424866676331,0.6175247430801392,0.5980272889137268,0.612188458442688,0.6328954696655273,0.0016644328134134412,0.0015214609447866678,0.763052225112915,0.7329317331314087,0.0001361595932394266,0.00012219170457683504,0.6739130616188049,0.6304348111152649
8,0.7929390668869019,0.4344868063926697,0.4919477701187134,0.3,0.7769100069999695,0.822114109992981,0.6656703948974609,0.6437888741493225,0.6015521287918091,0.630272388458252,0.6914851665496826,0.6596740484237671,0.5816404223442078,0.623889684677124,0.6678142547607422,0.6418597102165222,0.7630528211593628,0.7237676382064819,0.6503499746322632,0.6311702132225037,0.7167104482650757,0.6919971704483032,0.6206309199333191,0.5994042754173279,0.5885373950004578,0.6154794096946716,0.6240494251251221,0.6016241312026978,0.6074670553207397,0.6324617862701416,0.0017189821228384972,0.00155152368824929,0.7667844295501709,0.7332155704498291,0.0001414621656294912,0.0001302466116612777,0.6792452931404114,0.6603773832321167
9,0.7983064651489258,0.42273426055908203,0.48502641916275024,0.3,0.7864816188812256,0.8193870782852173,0.673829972743988,0.6496599912643433,0.5925828814506531,0.624620795249939,0.6956700086593628,0.6613649725914001,0.5774380564689636,0.6233804821968079,0.6722373366355896,0.6441385746002197,0.7646992206573486,0.7224016785621643,0.6586915850639343,0.637344241142273,0.7216313481330872,0.6946200728416443,0.6311637163162231,0.6081055402755737,0.5769417881965637,0.606139063835144,0.6312804222106934,0.605710506439209,0.600265383720398,0.6289071440696716,0.0017663092585280538,0.0015739679802209139,0.7775999903678894,0.7408000230789185,0.00013822705659549683,0.0001232492650160566,0.6785714030265808,0.6428571343421936
10,0.7974730134010315,0.4233677089214325,0.47942104935646057,0.3,0.7736993432044983,0.8412846326828003,0.6805863380432129,0.6545833349227905,0.5856785178184509,0.6191622018814087,0.699696958065033,0.663183331489563,0.5724308490753174,0.6215011477470398,0.6754916310310364,0.6452966332435608,0.7696483731269836,0.7260129451751709,0.6628918051719666,0.6396149396896362,0.7350026965141296,0.7083138823509216,0.6311686038970947,0.6038393974304199,0.5784475803375244,0.6108871698379517,0.6328043341636658,0.6047481298446655,0.6011824607849121,0.63227778673172,0.0018511146772652864,0.0016307883197441697,0.7859154939651489,0.7450703978538513,0.00014219623699318618,0.00012315346975810826,0.6935483813285828,0.6451612710952759
11,0.8111414909362793,0.4066481590270996,0.4733566343784332,0.3,0.7961097359657288,0.8369970917701721,0.6779930591583252,0.6508180499076843,0.5915073752403259,0.6279996037483215,0.7033833265304565,0.665108323097229,0.5680580735206604,0.6198887228965759,0.6792458891868591,0.6473762392997742,0.7716622352600098,0.7265087366104126,0.6540226340293884,0.6299959421157837,0.7559065222740173,0.7310277819633484,0.6059464812278748,0.5736156105995178,0.6228935122489929,0.6640194654464722,0.6391069293022156,0.6088066101074219,0.5952341556549072,0.629558801651001,0.0018657236360013485,0.0016218007076531649,0.7821011543273926,0.7367056012153625,0.00013335263065528125,0.00011537715181475505,0.7121211886405945,0.6666666865348816
12,0.8063408732414246,0.40852510929107666,0.46836960315704346,0.3,0.7909947633743286,0.8332000970840454,0.6839423179626465,0.6551243662834167,0.5841509103775024,0.6232995390892029,0.7064153552055359,0.6663961410522461,0.5644211173057556,0.6189349293708801,0.6822136640548706,0.6486939191818237,0.7737492322921753,0.7271448373794556,0.6588839888572693,0.633185863494873,0.7628971338272095,0.7376067042350769,0.6109062433242798,0.5759100317955017,0.6137521862983704,0.6583354473114014,0.6437463164329529,0.6114543080329895,0.5911224484443665,0.6281254887580872,0.0018834952497854829,0.0016372432000935078,0.7805755138397217,0.7398081421852112,0.00014057722000870854,0.00012167877866886556,0.7260273694992065,0.6849315166473389
13,0.8115081787109375,0.4025513231754303,0.4636682868003845,0.3,0.7902905344963074,0.8483273386955261,0.6867499947547913,0.6554226279258728,0.6010789275169373,0.6499472856521606,0.7092535495758057,0.6673678755760193,0.5610133409500122,0.618556559085846,0.6849263906478882,0.6495487093925476,0.775930643081665,0.7281540036201477,0.6584632396697998,0.630397617816925,0.7761057019233704,0.7515100240707397,0.6022804379463196,0.5621436238288879,0.6783841252326965,0.7415159940719604,0.646238386631012,0.6114005446434021,0.5893688797950745,0.6295565962791443,0.0018937959102913737,0.0016333911335095763,0.787401556968689,0.7457817792892456,0.00013734343519899994,0.00011819011706393212,0.7215189933776855,0.6835442781448364
14,0.8107414245605469,0.402568519115448,0.4595949351787567,0.3,0.7849337458610535,0.8565148115158081,0.6911666393280029,0.658447802066803,0.5943825244903564,0.6451670527458191,0.7115511298179626,0.6684322357177734,0.5585120916366577,0.6181584596633911,0.6867175102233887,0.6502623558044434,0.7789326310157776,0.7300843596458435,0.6614726781845093,0.632136344909668,0.783212423324585,0.7581365704536438,0.6042041778564453,0.5615398287773132,0.6752758622169495,0.7403164505958557,0.6477237343788147,0.6111965179443359,0.5888459086418152,0.6314218640327454,0.0018764389678835869,0.0016110461438074708,0.7889125943183899,0.7473347783088684,0.00014914681378286332,0.0001305565529037267,0.7415730357170105,0.7191011309623718
