epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6076143383979797,0.6560346484184265,0.6560346484184265,0.3,0.6295316219329834,0.5232666730880737,0.50204998254776,0.5034499764442444,0.7288698554039001,0.729415774345398,0.5031999945640564,0.503766655921936,0.72855544090271,0.7291112542152405,0.5016630291938782,0.5019540190696716,0.9703009724617004,0.9718343019485474,0.5821499824523926,0.5832833051681519,0.673194944858551,0.6713857054710388,0.5756370425224304,0.5774351954460144,0.626899003982544,0.6227012276649475,0.5010757446289062,0.5017962455749512,0.9703353047370911,0.9730351567268372,0.04284238442778587,0.04166163504123688,0.9659484624862671,0.9657123684883118,0.04319123923778534,0.043593768030405045,0.9574214816093445,0.9585656523704529,8.413259638473392e-05,8.416800119448453e-05,1.0,1.0,0.5536502599716187,0.5607749819755554,0.6758771538734436,0.671404242515564,0.001531485584564507,0.0015563014894723892,0.7611940503120422,0.7611940503120422,9.811754716793075e-05,9.799667168408632e-05,1.0,1.0
1,0.694625973701477,0.5771971344947815,0.616615891456604,0.3,0.680152952671051,0.7351019978523254,0.5594499707221985,0.5595333576202393,0.6932820677757263,0.6932328939437866,0.5605000257492065,0.5597583055496216,0.6930670738220215,0.6929852962493896,0.5442245602607727,0.543895959854126,0.7447794079780579,0.7407129406929016,0.6075166463851929,0.6080250144004822,0.6603866815567017,0.6590466499328613,0.5938310623168945,0.5957568883895874,0.6823049187660217,0.6739112138748169,0.5434348583221436,0.543675422668457,0.7439918518066406,0.7412586212158203,0.3678165674209595,0.3732171356678009,0.784144401550293,0.7807984352111816,0.38425981998443604,0.38803017139434814,0.7748653888702393,0.7725821137428284,7.626601291121915e-05,7.673587242607027e-05,0.6363636255264282,0.6363636255264282,0.5559043884277344,0.5661353468894958,0.6815004348754883,0.6719374060630798,0.0016295245150104165,0.0016832937253639102,0.800000011920929,0.8074073791503906,8.488964522257447e-05,8.562101720599458e-05,1.0,1.0
2,0.7308974266052246,0.5262525081634521,0.5864947438240051,0.3,0.7030004858970642,0.7997333407402039,0.572422206401825,0.5749777555465698,0.6910746693611145,0.6896753311157227,0.5732444524765015,0.5747055411338806,0.6911141276359558,0.6897647380828857,0.5490936040878296,0.5504417419433594,0.8194767236709595,0.8154768943786621,0.6231499910354614,0.622083306312561,0.652581512928009,0.6532146334648132,0.6038318872451782,0.6050882935523987,0.7179763317108154,0.7047316431999207,0.5485395789146423,0.5506100058555603,0.8185949325561523,0.8158727884292603,0.3201214671134949,0.32808706164360046,0.8712736964225769,0.8651906847953796,0.33531466126441956,0.3425467610359192,0.8659107089042664,0.8606860041618347,7.401326729450375e-05,7.482738874386996e-05,0.7333333492279053,0.7333333492279053,0.5488467812538147,0.5618305206298828,0.7029826045036316,0.6899142265319824,0.0015052336966618896,0.0015599511098116636,0.7794871926307678,0.7846153974533081,9.866668551694602e-05,9.983626659959555e-05,1.0,1.0
3,0.7536671757698059,0.49421218037605286,0.5634241104125977,0.3,0.7450576424598694,0.7713333368301392,0.5914916396141052,0.5892791748046875,0.6732962727546692,0.676581621170044,0.5917500257492065,0.5887541770935059,0.6737350225448608,0.6771051287651062,0.5603095293045044,0.5585244297981262,0.852599024772644,0.8472159504890442,0.6371416449546814,0.6293125152587891,0.6429351568222046,0.6527594327926636,0.6163132190704346,0.6117661595344543,0.7281985282897949,0.7094134092330933,0.5601316690444946,0.5588560104370117,0.8523799180984497,0.8478633761405945,0.3301667869091034,0.32969045639038086,0.8716185092926025,0.8724365234375,0.334715336561203,0.3358927369117737,0.8752251863479614,0.8763138055801392,8.066874579526484e-05,8.081175474217162e-05,0.7272727489471436,0.7272727489471436,0.5613452196121216,0.5652229189872742,0.7008211612701416,0.6980302333831787,0.0014133573276922107,0.0014028921723365784,0.7520325183868408,0.7398374080657959,0.00010014621511800215,0.00010007505625253543,1.0,1.0
4,0.761001467704773,0.4788232445716858,0.5465039014816284,0.3,0.735271155834198,0.8159824013710022,0.6192233562469482,0.6108466386795044,0.6459699869155884,0.6575214862823486,0.6193633079528809,0.6103299856185913,0.6460331678390503,0.6576162576675415,0.5817198753356934,0.575812816619873,0.8498280048370361,0.838135302066803,0.650439977645874,0.6362666487693787,0.631536066532135,0.6504348516464233,0.6281595230102539,0.6182927489280701,0.7386887669563293,0.7137080430984497,0.5816437602043152,0.5761682391166687,0.849493682384491,0.8386275172233582,0.3847334682941437,0.37823933362960815,0.8212958574295044,0.8293649554252625,0.39256396889686584,0.3893356919288635,0.8190509080886841,0.8251681327819824,9.71851623035036e-05,9.667142876423895e-05,0.7333333492279053,0.7333333492279053,0.5782930254936218,0.574922502040863,0.6867720484733582,0.6913789510726929,0.0015001747524365783,0.0014631408266723156,0.7763158082962036,0.7631579041481018,9.594501170795411e-05,9.494298865320161e-05,1.0,1.0
5,0.7754033803939819,0.4605768322944641,0.5321827530860901,0.3,0.7611949443817139,0.8030383586883545,0.6295555830001831,0.6168444156646729,0.6591843962669373,0.6793299317359924,0.6298778057098389,0.616683304309845,0.65865558385849,0.6787599921226501,0.5880928039550781,0.579036295413971,0.8671795725822449,0.8550025224685669,0.6609249711036682,0.6414666771888733,0.620948851108551,0.647567093372345,0.6381329894065857,0.6237126588821411,0.7447293996810913,0.7147266268730164,0.5878304243087769,0.5790991187095642,0.867253303527832,0.8556262850761414,0.38845953345298767,0.3740713894367218,0.9000492095947266,0.9216532111167908,0.3946495056152344,0.3829694986343384,0.9002828598022461,0.922839343547821,0.00010712254152167588,0.00010509492858545855,0.7837837934494019,0.7837837934494019,0.5901393890380859,0.5812949538230896,0.6769285798072815,0.6885096430778503,0.0015369689790531993,0.0014460197417065501,0.7726027369499207,0.7424657344818115,9.141102054854855e-05,8.930995682021603e-05,1.0,1.0
6,0.7826376557350159,0.44612133502960205,0.5198882818222046,0.3,0.7743918299674988,0.7978269457817078,0.6464952230453491,0.6303285956382751,0.6375507116317749,0.6616984009742737,0.6466904878616333,0.6301214098930359,0.637090265750885,0.6613696813583374,0.6043554544448853,0.592613935470581,0.8496671915054321,0.8327730298042297,0.6697309613227844,0.6462428569793701,0.6119068264961243,0.6447585821151733,0.6471826434135437,0.6289551258087158,0.747602105140686,0.714783251285553,0.6041960120201111,0.5927625298500061,0.8496304750442505,0.8329936861991882,0.4419717788696289,0.4255563020706177,0.8419117331504822,0.8668963313102722,0.44628649950027466,0.43183574080467224,0.8428535461425781,0.8691632151603699,0.0001142275650636293,0.00010794983245432377,0.7674418687820435,0.7441860437393188,0.6026819944381714,0.588760256767273,0.6657314300537109,0.684264063835144,0.0015806162264198065,0.0014621721347793937,0.7735849022865295,0.7405660152435303,8.930196781875566e-05,9.008618508232757e-05,0.8666666746139526,0.8999999761581421
7,0.7876049876213074,0.44089433550834656,0.510013997554779,0.3,0.7704014778137207,0.8197387456893921,0.6583499908447266,0.6391603946685791,0.6370338797569275,0.6690222024917603,0.658554196357727,0.6388687491416931,0.6363641619682312,0.6688516736030579,0.6137321591377258,0.599422037601471,0.8557352423667908,0.8374031782150269,0.6767395734786987,0.6497291922569275,0.6039993166923523,0.642278790473938,0.6540346741676331,0.6326937079429626,0.751663088798523,0.7154079079627991,0.6135190725326538,0.5996361374855042,0.8559483289718628,0.8376663327217102,0.4605187177658081,0.43948495388031006,0.8606934547424316,0.897155225276947,0.46303117275238037,0.44273537397384644,0.865585207939148,0.9044010639190674,0.00012492660607676953,0.00011736842134268954,0.800000011920929,0.7799999713897705,0.6124394536018372,0.5947198271751404,0.6554591655731201,0.6789572238922119,0.0016296078683808446,0.0014636385021731257,0.7757201790809631,0.7283950448036194,0.00010880208719754592,0.00010771090455818921,0.8536585569381714,0.8780487775802612
8,0.7956060767173767,0.42807620763778687,0.5009098052978516,0.3,0.7776318192481995,0.8283582329750061,0.6671129465103149,0.6461166739463806,0.625922679901123,0.6603755354881287,0.6673629879951477,0.6462407112121582,0.6250794529914856,0.6600134968757629,0.6264371871948242,0.6106116771697998,0.8293274641036987,0.8074401617050171,0.6827296018600464,0.6528444290161133,0.5967543125152588,0.6392531394958496,0.6602699160575867,0.6362146139144897,0.7539733052253723,0.7153450846672058,0.6261414289474487,0.6104896664619446,0.8296385407447815,0.8074846267700195,0.5031732320785522,0.4825548827648163,0.7996834516525269,0.8354213237762451,0.5067915320396423,0.4878295063972473,0.8020357489585876,0.8390815258026123,0.0001329875667579472,0.0001251546200364828,0.800000011920929,0.7818182110786438,0.6205936074256897,0.5997844338417053,0.6458228826522827,0.6730773448944092,0.0016444721259176731,0.0014588923659175634,0.7817164063453674,0.7313432693481445,0.0001110174271161668,0.00010947443661279976,0.8222222328186035,0.8444444537162781
9,0.7982730865478516,0.42254573106765747,0.49307340383529663,0.3,0.7881361246109009,0.816231369972229,0.6736116409301758,0.6498833298683167,0.6251093745231628,0.6651744246482849,0.6742150187492371,0.6503633260726929,0.6235483884811401,0.6636863350868225,0.6309241056442261,0.6126242876052856,0.8396584391593933,0.8180466890335083,0.6882733106613159,0.655346691608429,0.5900858044624329,0.6371310353279114,0.6661102175712585,0.6391903162002563,0.7561094760894775,0.7148066759109497,0.6303499937057495,0.6122205853462219,0.8396717309951782,0.8178300261497498,0.5074453949928284,0.4807833135128021,0.8230973482131958,0.8697007298469543,0.5086489915847778,0.48346012830734253,0.828238308429718,0.8769089579582214,0.00012833290384151042,0.00011947866005357355,0.8103448152542114,0.7931034564971924,0.6289243102073669,0.6050047874450684,0.6357583999633789,0.6675063371658325,0.0016757496632635593,0.001476277713663876,0.7785235047340393,0.7298657894134521,0.00011440120579209179,0.00011369391722837463,0.8235294222831726,0.8627451062202454
