epoch,accuracy,entropy,entropy_large_set,is_final,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_overshoot_accuracy,test_overshoot_accuracy_nolang,test_overshoot_entropy,test_overshoot_entropy_nolang,test_overshoot_precision,test_overshoot_precision_nolang,test_overshoot_recall,test_overshoot_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_overshoot_accuracy,test_square_overshoot_accuracy_nolang,test_square_overshoot_entropy,test_square_overshoot_entropy_nolang,test_square_overshoot_precision,test_square_overshoot_precision_nolang,test_square_overshoot_recall,test_square_overshoot_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6045472621917725,0.6577777862548828,0.6577777862548828,0.3,0.5849658846855164,0.7205039262771606,0.5217666625976562,0.5220833420753479,0.6917389035224915,0.6915866732597351,0.5223833322525024,0.5237833261489868,0.6914001703262329,0.6912804841995239,0.5159749984741211,0.5170415043830872,0.7239850759506226,0.7225518226623535,0.5632666945457458,0.5624499917030334,0.6869366765022278,0.6868860721588135,0.5425584316253662,0.5421711206436157,0.8106388449668884,0.8070082068443298,0.5155562162399292,0.5158597230911255,0.7219092845916748,0.7188093662261963,0.330032616853714,0.3369694948196411,0.7209081649780273,0.7198882102966309,0.29992350935935974,0.30483436584472656,0.7285895943641663,0.728099524974823,9.582031634636223e-05,9.649715502746403e-05,1.0,1.0,0.316252738237381,0.3168565332889557,0.8408793807029724,0.8421854972839355,0.001215638592839241,0.0011971347266808152,0.7654321193695068,0.7530864477157593,2.0027639038744383e-05,2.023717934207525e-05,0.3333333432674408,0.3333333432674408
1,0.686291515827179,0.581767201423645,0.6197724938392639,0.3,0.6617868542671204,0.7623650431632996,0.5673666596412659,0.5700083374977112,0.6732873916625977,0.6718493700027466,0.567550003528595,0.5702416896820068,0.6734358072280884,0.6720641851425171,0.5508143305778503,0.5538901686668396,0.7326933741569519,0.7223944067955017,0.5913416743278503,0.5915250182151794,0.6757024526596069,0.6756132245063782,0.5646286606788635,0.5658608078956604,0.8006828427314758,0.7889915704727173,0.5508725047111511,0.553997814655304,0.729713499546051,0.7184807658195496,0.41070589423179626,0.4310067296028137,0.7161166071891785,0.7070491313934326,0.3967113494873047,0.4157710373401642,0.716865599155426,0.7085344791412354,0.00010007450327975675,0.00010333899990655482,0.8999999761581421,0.8999999761581421,0.3823612332344055,0.3925049304962158,0.8202621936798096,0.8095173835754395,0.0011612636735662818,0.0011696293950080872,0.7810218930244446,0.7737226486206055,4.553734106593765e-05,4.716202602139674e-05,0.5714285969734192,0.5714285969734192
2,0.729063868522644,0.5284799933433533,0.5893416404724121,0.3,0.7136914134025574,0.7657561898231506,0.5942333340644836,0.5964944362640381,0.6591760516166687,0.6574955582618713,0.5956611037254333,0.5978666543960571,0.6581645011901855,0.6564621329307556,0.5751317143440247,0.5788809657096863,0.7325934171676636,0.7185059189796448,0.610261082649231,0.6089444160461426,0.6644112467765808,0.6650956273078918,0.5806010365486145,0.5818979740142822,0.7962804436683655,0.7760728597640991,0.5742884874343872,0.5782081484794617,0.7286120653152466,0.713534951210022,0.4502676725387573,0.471431702375412,0.7221178412437439,0.7075505256652832,0.4514126479625702,0.47260797023773193,0.7150962948799133,0.6989471912384033,0.00011412919411668554,0.00011871549941133708,0.8235294222831726,0.8235294222831726,0.42175528407096863,0.4407590925693512,0.8048104643821716,0.7820837497711182,0.0013058865442872047,0.0013024058425799012,0.7971698045730591,0.7688679099082947,6.508456863230094e-05,6.76904819556512e-05,0.6666666865348816,0.6666666865348816
3,0.7524336576461792,0.4971567690372467,0.5662954449653625,0.3,0.7383435964584351,0.782707154750824,0.6193291544914246,0.6159374713897705,0.6439765095710754,0.6490053534507751,0.6205000281333923,0.6172083616256714,0.643426775932312,0.6485961675643921,0.5959818363189697,0.5960976481437683,0.7484585046768188,0.727285623550415,0.6243666410446167,0.6176958084106445,0.6547524929046631,0.6618897914886475,0.5928969979286194,0.59060138463974,0.7957819104194641,0.7693377137184143,0.5951844453811646,0.5953070521354675,0.7462793588638306,0.7242887616157532,0.4866226613521576,0.5028848052024841,0.7176213264465332,0.7053143978118896,0.4870855510234833,0.5052798390388489,0.713990330696106,0.6974471211433411,0.00013732221850659698,0.00012881617294624448,0.8399999737739563,0.7599999904632568,0.4555441439151764,0.47076305747032166,0.7926682233810425,0.7723665237426758,0.0012864468153566122,0.0012602434726431966,0.7857142686843872,0.7481203079223633,6.533812120324001e-05,6.747547013219446e-05,0.625,0.625
4,0.7613348364830017,0.4802616834640503,0.5490886569023132,0.3,0.7482773661613464,0.788397490978241,0.6383100152015686,0.629936695098877,0.6296409368515015,0.6422984600067139,0.6387266516685486,0.6307133436203003,0.6299837827682495,0.6422890424728394,0.6109822392463684,0.607601523399353,0.7638937830924988,0.7382893562316895,0.6379166841506958,0.6258466839790344,0.643602728843689,0.6575160026550293,0.6051519513130188,0.5989187955856323,0.7954210638999939,0.7638136744499207,0.6109922528266907,0.6073824763298035,0.7614644765853882,0.7350523471832275,0.5101101398468018,0.5200042724609375,0.7081822156906128,0.702086865901947,0.5104590058326721,0.5213567614555359,0.7056193351745605,0.6957909464836121,0.00014250713866204023,0.0001289382198592648,0.8666666746139526,0.7666666507720947,0.4811818301677704,0.4893638789653778,0.7775646448135376,0.765474259853363,0.0013331611407920718,0.0012969011440873146,0.7914110422134399,0.7576687335968018,7.12098553776741e-05,6.708782893838361e-05,0.5909090638160706,0.5454545617103577
5,0.7653020620346069,0.47250956296920776,0.5363255143165588,0.3,0.756139874458313,0.7836487293243408,0.653552770614624,0.6410861015319824,0.6160600781440735,0.6342679262161255,0.6536555290222168,0.6415666937828064,0.616776704788208,0.6347123980522156,0.6243600249290466,0.6179081201553345,0.7715857028961182,0.7420492768287659,0.6485666632652283,0.6314416527748108,0.6333727240562439,0.6541913747787476,0.6152302622795105,0.6051533222198486,0.7947075366973877,0.7581254839897156,0.6245589852333069,0.617817759513855,0.7700157761573792,0.7399170994758606,0.5352659225463867,0.5426433682441711,0.6966872215270996,0.692077100276947,0.5355163812637329,0.5413843393325806,0.6942591071128845,0.6901755332946777,0.00013479100016411394,0.0001218923571286723,0.875,0.78125,0.5050651431083679,0.507976770401001,0.7599012851715088,0.7523015141487122,0.0014217753196135163,0.0013532045995816588,0.7914572954177856,0.7487437129020691,8.179998258128762e-05,7.823081250535324e-05,0.6296296119689941,0.5925925970077515
6,0.7751033306121826,0.45648297667503357,0.5249193906784058,0.3,0.7524758577346802,0.820271909236908,0.6591833233833313,0.6442762017250061,0.6093944907188416,0.6293752789497375,0.659595251083374,0.6446809768676758,0.6095708012580872,0.6294649243354797,0.6251693964004517,0.6157616972923279,0.7972497344017029,0.7697424292564392,0.6579095125198364,0.6368952393531799,0.6245047450065613,0.6508144736289978,0.6237948536872864,0.6105570197105408,0.7970499396324158,0.7575857043266296,0.6250584721565247,0.6157009601593018,0.795700192451477,0.7678539156913757,0.5252892971038818,0.5246509909629822,0.7069864273071289,0.7078413367271423,0.5171754956245422,0.5168630480766296,0.7130523920059204,0.713460385799408,0.00013099396892357618,0.0001190112525364384,0.8918918967247009,0.8108108043670654,0.5174400210380554,0.5162975788116455,0.7548443675041199,0.7506266832351685,0.001376973232254386,0.0013105485122650862,0.7797752618789673,0.7438202500343323,9.690235310699791e-05,9.274081094190478e-05,0.7058823704719543,0.6764705777168274
7,0.782204270362854,0.44521886110305786,0.5149568319320679,0.3,0.76469486951828,0.8156982660293579,0.6651687622070312,0.647641658782959,0.614170253276825,0.6385602951049805,0.6654000282287598,0.6478020548820496,0.6146024465560913,0.6385947465896606,0.6273318529129028,0.6153111457824707,0.815000593662262,0.7888191342353821,0.6653603911399841,0.6411916613578796,0.6166560649871826,0.6478148698806763,0.6306390166282654,0.6146524548530579,0.7995153665542603,0.758435070514679,0.6273239254951477,0.6154186725616455,0.8138676285743713,0.7873272895812988,0.5205222368240356,0.5114904642105103,0.7527652978897095,0.7638986110687256,0.5148968696594238,0.5072052478790283,0.7554473280906677,0.7653629183769226,0.00012790951586794108,0.00011570647620828822,0.9024389982223511,0.8292682766914368,0.5293912291526794,0.522689163684845,0.7479660511016846,0.7506483793258667,0.0013885427033528686,0.0013095438480377197,0.7768924236297607,0.7430278658866882,0.00012241829244885594,0.00011672297114273533,0.7777777910232544,0.7555555701255798
8,0.7864048480987549,0.4372910261154175,0.5063273310661316,0.3,0.7809498906135559,0.7965085506439209,0.6723240613937378,0.6518981456756592,0.6112127304077148,0.6410082578659058,0.672261118888855,0.6517314910888672,0.6121466159820557,0.6415410041809082,0.6316629648208618,0.6169029474258423,0.8265579342842102,0.8008376955986023,0.6721444725990295,0.6446685194969177,0.6085903644561768,0.6447155475616455,0.637514054775238,0.618535578250885,0.7992583513259888,0.7563625574111938,0.6318832635879517,0.6172388792037964,0.8257319331169128,0.7998148202896118,0.5240734219551086,0.5072014927864075,0.7698769569396973,0.7933474779129028,0.515863299369812,0.5004852414131165,0.7785193920135498,0.7999998331069946,0.00013547632261179388,0.000119371987238992,0.9166666865348816,0.8333333134651184,0.5413955450057983,0.5299577713012695,0.7365862727165222,0.7460408806800842,0.0014256533468142152,0.0013183121336624026,0.7797513604164124,0.738898754119873,0.0001315525732934475,0.00012402482389006764,0.7924528121948242,0.7735849022865295
9,0.7952393889427185,0.4263342022895813,0.4983280301094055,0.3,0.7810834646224976,0.8206478357315063,0.6808383464813232,0.6582316756248474,0.6022682785987854,0.6347653269767761,0.6808366775512695,0.6582300066947937,0.6029626727104187,0.6352513432502747,0.639222264289856,0.6226106882095337,0.830406904220581,0.8036223649978638,0.6782116889953613,0.6479583382606506,0.6014518737792969,0.6419590711593628,0.6434428691864014,0.6219777464866638,0.8005016446113586,0.7558189034461975,0.6394323706626892,0.6228522658348083,0.8293918371200562,0.8023098707199097,0.5371707677841187,0.5162473917007446,0.7667720317840576,0.7947232127189636,0.5287243723869324,0.5104724168777466,0.7745497226715088,0.7995995283126831,0.00013948907144367695,0.00012058924039592966,0.9245283007621765,0.8301886916160583,0.5525097846984863,0.5369909405708313,0.7268118858337402,0.7410068511962891,0.0014586952747777104,0.001334784901700914,0.7804487347602844,0.7387820482254028,0.00013624057464767247,0.00012757578224409372,0.8103448152542114,0.7931034564971924
