epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6201866865158081,0.650255024433136,0.650255024433136,0.6245819926261902,0.6025972366333008,0.5677833557128906,0.5705500245094299,0.6771067976951599,0.6762874722480774,0.5524585247039795,0.555141806602478,0.7141523957252502,0.7105526328086853,0.6245333552360535,0.6189333200454712,0.6493409276008606,0.6509575247764587,0.6313377022743225,0.6188610792160034,0.598677396774292,0.6192901730537415
1,0.725326657295227,0.5358696579933167,0.5930623412132263,0.698151707649231,0.7940784096717834,0.6139249801635742,0.6155833601951599,0.6504928469657898,0.6490755677223206,0.5908197164535522,0.593501091003418,0.7413381934165955,0.7338721752166748,0.6782066822052002,0.6708066463470459,0.5890171527862549,0.5964409112930298,0.6713188886642456,0.6595162153244019,0.6983760595321655,0.7062690258026123
2,0.7788800001144409,0.46005260944366455,0.5487257838249207,0.7430517077445984,0.8526211977005005,0.6395444273948669,0.6402999758720398,0.6298012137413025,0.6290552616119385,0.6123717427253723,0.6147952675819397,0.7606461644172668,0.7515804171562195,0.7151866555213928,0.7026488780975342,0.5398661494255066,0.5565400719642639,0.7002497911453247,0.684827446937561,0.752526581287384,0.7509088516235352
3,0.8115333318710327,0.4065406918525696,0.5131794810295105,0.7731321454048157,0.8818596601486206,0.6580458283424377,0.6561208367347717,0.6135416626930237,0.6166462302207947,0.6278972625732422,0.6281279921531677,0.7760621905326843,0.7655131816864014,0.7446466684341431,0.7241100072860718,0.4976888597011566,0.5281291604042053,0.7242546677589417,0.7023558616638184,0.7901403307914734,0.7778940796852112
4,0.8253733515739441,0.38097551465034485,0.4867386817932129,0.7902286052703857,0.885919988155365,0.6735100150108337,0.6676866412162781,0.5976299047470093,0.6058924794197083,0.6419358253479004,0.6388443112373352,0.7849043607711792,0.7717258930206299,0.7656453251838684,0.7394933104515076,0.4652489125728607,0.5069223642349243,0.741824746131897,0.7160346508026123,0.8149315714836121,0.793828547000885
5,0.8303400278091431,0.36813095211982727,0.4669707119464874,0.7891628742218018,0.9015652537345886,0.6855694651603699,0.6757083535194397,0.5843639373779297,0.5982822775840759,0.6532718539237976,0.6462376713752747,0.7910787463188171,0.7766304016113281,0.7803599834442139,0.7506688833236694,0.44213011860847473,0.49084389209747314,0.7529206275939941,0.7254825830459595,0.8346399068832397,0.8065614104270935
6,0.8439933061599731,0.3434709906578064,0.44932791590690613,0.8119190335273743,0.8954511284828186,0.6966476440429688,0.6836642622947693,0.570779025554657,0.5893381834030151,0.665054976940155,0.654788076877594,0.7924731373786926,0.7770746946334839,0.7930590510368347,0.7607561945915222,0.4214470684528351,0.47598716616630554,0.7639877200126648,0.7353724837303162,0.8481528759002686,0.8147184252738953
7,0.8474599719047546,0.33698800206184387,0.43528541922569275,0.8051161766052246,0.9168710708618164,0.7048104405403137,0.6889916658401489,0.5610940456390381,0.5843462347984314,0.6727898716926575,0.6595523953437805,0.797582745552063,0.7813760042190552,0.8024250268936157,0.7685583233833313,0.4057907164096832,0.4642878472805023,0.771342933177948,0.7419031262397766,0.8597312569618225,0.8236933350563049
8,0.856493353843689,0.32044273614883423,0.4225251078605652,0.8243734836578369,0.9060525298118591,0.7123129367828369,0.6942425966262817,0.5513323545455933,0.5782317519187927,0.6811549663543701,0.6653522253036499,0.7984112501144409,0.781716525554657,0.8111303448677063,0.7758740782737732,0.3914446532726288,0.45327648520469666,0.7792381644248962,0.7491158246994019,0.8682689666748047,0.8296224474906921
9,0.8603666424751282,0.3136900067329407,0.41164159774780273,0.82123202085495,0.921280026435852,0.7186999917030334,0.698461651802063,0.5433180332183838,0.5740150809288025,0.687802255153656,0.6695266962051392,0.80105060338974,0.7839053869247437,0.8183413147926331,0.7823933362960815,0.3792661726474762,0.44324415922164917,0.785347044467926,0.754957914352417,0.8761862516403198,0.8362367153167725
10,0.8640199899673462,0.3082723617553711,0.4022443890571594,0.8226867914199829,0.9280838370323181,0.7244499921798706,0.7022393941879272,0.535634458065033,0.5696134567260742,0.6939065456390381,0.6733250617980957,0.8032888174057007,0.7857447862625122,0.824419379234314,0.7878109216690063,0.3688645660877228,0.43459832668304443,0.7903041839599609,0.7594817280769348,0.8832106590270996,0.8424425721168518
11,0.8660399913787842,0.30112266540527344,0.39381757378578186,0.8225075006484985,0.9335671067237854,0.7297638654708862,0.7057083249092102,0.5285335779190063,0.5657167434692383,0.6996221542358398,0.6767517328262329,0.8053450584411621,0.7877216339111328,0.8296688795089722,0.7926455736160278,0.3595868647098541,0.4267960488796234,0.7946380972862244,0.7634435892105103,0.8891476392745972,0.8481104373931885
12,0.8732200264930725,0.2882719337940216,0.38569867610931396,0.8347782492637634,0.9306759238243103,0.7345474362373352,0.7090256214141846,0.5217524766921997,0.5613356232643127,0.7051780223846436,0.680482804775238,0.8061928153038025,0.788189172744751,0.834469735622406,0.7971661686897278,0.351078063249588,0.41950076818466187,0.7988333702087402,0.7674143314361572,0.8941236734390259,0.8528319001197815
13,0.8759933114051819,0.2856052815914154,0.37854915857315063,0.8342241644859314,0.9384965896606445,0.7386035919189453,0.712069034576416,0.5160892009735107,0.557841956615448,0.7098114490509033,0.6836249232292175,0.8072894215583801,0.7896075248718262,0.8388866782188416,0.8011704683303833,0.34349560737609863,0.4129909873008728,0.8027018904685974,0.7706736326217651,0.8986823558807373,0.8575401306152344
14,0.8765866756439209,0.2818234860897064,0.3721008002758026,0.8338849544525146,0.9405498504638672,0.7422433495521545,0.714460015296936,0.5114157199859619,0.5556287169456482,0.7138257026672363,0.685893714427948,0.808764636516571,0.7913815975189209,0.8428879976272583,0.8049368858337402,0.33644047379493713,0.4067836105823517,0.8062195777893066,0.7736999988555908,0.9027864933013916,0.8620352745056152
