epoch,accuracy,entropy,entropy_large_set,precision,recall,test_accuracy,test_accuracy_nolang,test_entropy,test_entropy_nolang,test_in_train_sample_accuracy,test_in_train_sample_accuracy_nolang,test_in_train_sample_entropy,test_in_train_sample_entropy_nolang,test_in_train_sample_precision,test_in_train_sample_precision_nolang,test_in_train_sample_recall,test_in_train_sample_recall_nolang,test_precision,test_precision_nolang,test_recall,test_recall_nolang,test_square_accuracy,test_square_accuracy_nolang,test_square_entropy,test_square_entropy_nolang,test_square_in_train_sample_accuracy,test_square_in_train_sample_accuracy_nolang,test_square_in_train_sample_entropy,test_square_in_train_sample_entropy_nolang,test_square_in_train_sample_precision,test_square_in_train_sample_precision_nolang,test_square_in_train_sample_recall,test_square_in_train_sample_recall_nolang,test_square_precision,test_square_precision_nolang,test_square_recall,test_square_recall_nolang
0,0.6090400218963623,0.6566214561462402,0.6566214561462402,0.5758526921272278,0.8289884328842163,0.5663666725158691,0.5713499784469604,0.6785809993743896,0.6762866973876953,0.5600833296775818,0.562833309173584,0.6834771037101746,0.6818551421165466,0.5401421189308167,0.5424955487251282,0.8106361031532288,0.8041718006134033,0.543990969657898,0.5478708148002625,0.8210452795028687,0.8169122338294983,0.6065866947174072,0.6039866805076599,0.6562212109565735,0.658467173576355,0.6109066605567932,0.606053352355957,0.6549099087715149,0.6578269004821777,0.5772048830986023,0.5735862255096436,0.8297117948532104,0.8272322416305542,0.5744090676307678,0.5724744200706482,0.8229694366455078,0.8215562105178833
1,0.7206466794013977,0.5420544147491455,0.5993379354476929,0.7110915780067444,0.7435552477836609,0.6098583340644836,0.6158750057220459,0.6492372751235962,0.6442921757698059,0.6026833057403564,0.6062583327293396,0.6588937640190125,0.6554334163665771,0.5792664289474487,0.5838332176208496,0.7514578104019165,0.7410116195678711,0.5835095643997192,0.5897042155265808,0.7677988409996033,0.7619158625602722,0.6683200001716614,0.6617400050163269,0.5923770666122437,0.6008279323577881,0.669106662273407,0.6604533195495605,0.5937431454658508,0.6042076945304871,0.6362533569335938,0.6289944052696228,0.7899753451347351,0.7827234268188477,0.6357595920562744,0.6300691366195679,0.7883635759353638,0.7836173176765442
2,0.7596866488456726,0.4849725067615509,0.5612161159515381,0.740330696105957,0.8002718687057495,0.6345944404602051,0.6399222016334534,0.6325603127479553,0.6272312998771667,0.624822199344635,0.6278277635574341,0.645651638507843,0.6421235203742981,0.5993027091026306,0.6043983101844788,0.7541706562042236,0.7408534288406372,0.6051243543624878,0.6118913888931274,0.7748791575431824,0.7652907967567444,0.7072311043739319,0.6913288831710815,0.5449684262275696,0.5670875310897827,0.7056089043617249,0.6881733536720276,0.5486921668052673,0.5732841491699219,0.6735837459564209,0.6579530239105225,0.7981604933738708,0.7841820120811462,0.6743946075439453,0.6597086191177368,0.801486074924469,0.7904471755027771
3,0.7872999906539917,0.44358500838279724,0.5318083167076111,0.7552663683891296,0.8502132892608643,0.6529333591461182,0.6536708474159241,0.6163676381111145,0.6157915592193604,0.6425999999046326,0.6409708261489868,0.6301188468933105,0.6321432590484619,0.6146751046180725,0.6163836717605591,0.7649949789047241,0.7472342848777771,0.6205483675003052,0.6238933801651001,0.787390947341919,0.7739753127098083,0.7360633611679077,0.7102500200271606,0.5062780380249023,0.5444831848144531,0.7335933446884155,0.7057499885559082,0.5110558271408081,0.5524032711982727,0.6997755169868469,0.6751825213432312,0.8185065984725952,0.793327271938324,0.700940728187561,0.6774910688400269,0.8235262632369995,0.8026144504547119
4,0.7967000007629395,0.42590993642807007,0.5106286406517029,0.7586723566055298,0.8705391883850098,0.6669433116912842,0.6632099747657776,0.6031554937362671,0.6082059144973755,0.6548399925231934,0.6492199897766113,0.6195379495620728,0.6275855302810669,0.6253030896186829,0.6238833069801331,0.7733216285705566,0.7521159052848816,0.6323453783988953,0.6320803165435791,0.7977601289749146,0.7811612486839294,0.7556346654891968,0.7240960001945496,0.4782537817955017,0.5274494886398315,0.7521786689758301,0.7177413105964661,0.4846569895744324,0.5372119545936584,0.7159905433654785,0.6865752339363098,0.8361920714378357,0.801567554473877,0.7177502512931824,0.6900953650474548,0.8426767587661743,0.8135905861854553
5,0.8085533380508423,0.4060191810131073,0.49319374561309814,0.778203547000885,0.8633419275283813,0.6788111329078674,0.6713083386421204,0.5903937816619873,0.6007075905799866,0.6666222214698792,0.6566333174705505,0.6074709296226501,0.6212612390518188,0.6368023157119751,0.6318257451057434,0.7761629223823547,0.7513106465339661,0.6436581611633301,0.6403452754020691,0.8012643456459045,0.7817268967628479,0.7707200050354004,0.7351489067077637,0.45572414994239807,0.5128426551818848,0.7665377855300903,0.7272422313690186,0.4632279872894287,0.5245618224143982,0.7294769287109375,0.6967471241950989,0.8475127220153809,0.8050322532653809,0.7314713001251221,0.7012853026390076,0.8555524945259094,0.8193328380584717
6,0.8172666430473328,0.3923640251159668,0.4787895083427429,0.787295401096344,0.8695344924926758,0.6884738206863403,0.6772881150245667,0.5792401432991028,0.5945247411727905,0.6763809323310852,0.6622118949890137,0.5969437956809998,0.6165304780006409,0.6466585993766785,0.6379452347755432,0.7782220840454102,0.750727117061615,0.6530121564865112,0.6465001702308655,0.8044472932815552,0.7824679017066956,0.7826095223426819,0.7442323565483093,0.43722766637802124,0.5002505779266357,0.7779714465141296,0.7356152534484863,0.44576674699783325,0.5133863091468811,0.7403708100318909,0.7058258056640625,0.8564040660858154,0.8082708716392517,0.7424973249435425,0.7105401158332825,0.8653616309165955,0.8243053555488586
7,0.8217466473579407,0.3827365040779114,0.4667828679084778,0.7908284664154053,0.8750699758529663,0.6971499919891357,0.6830916404724121,0.5688189268112183,0.5884668827056885,0.6846749782562256,0.6673271059989929,0.587313711643219,0.6117627620697021,0.6552873253822327,0.6437711715698242,0.7797696590423584,0.7497761249542236,0.6616643071174622,0.6526296138763428,0.8069837093353271,0.7829728126525879,0.792158305644989,0.7518883347511292,0.4224327504634857,0.48968595266342163,0.7871783375740051,0.742473304271698,0.431488037109375,0.5038335919380188,0.7491415739059448,0.7132585644721985,0.8637080192565918,0.8112305998802185,0.7513455152511597,0.7182661890983582,0.873392641544342,0.8289691805839539
8,0.8256800174713135,0.3760127127170563,0.4566973149776459,0.7925223708152771,0.8825567960739136,0.7044796347618103,0.6874592304229736,0.5597509741783142,0.5835963487625122,0.6916981339454651,0.671057403087616,0.578792154788971,0.6079143285751343,0.6625227332115173,0.6479126214981079,0.7819260358810425,0.7498342990875244,0.6690639853477478,0.6571821570396423,0.8093023300170898,0.783863365650177,0.8001318573951721,0.7584488987922668,0.40956297516822815,0.4803179204463959,0.7949466705322266,0.748700737953186,0.41918107867240906,0.4951556622982025,0.7564481496810913,0.7196059226989746,0.8701940774917603,0.8151977062225342,0.7586638927459717,0.724641740322113,0.8803314566612244,0.8337510824203491
9,0.830020010471344,0.36602041125297546,0.4476296007633209,0.7943326234817505,0.8907787203788757,0.7110733389854431,0.6912166476249695,0.5515717267990112,0.5792190432548523,0.697991669178009,0.6746416687965393,0.5713098645210266,0.6045808792114258,0.6688641309738159,0.6516987085342407,0.784679651260376,0.75077885389328,0.6755689978599548,0.6609000563621521,0.8122671246528625,0.7855190634727478,0.8065933585166931,0.7638466954231262,0.398963987827301,0.4723075330257416,0.8011946678161621,0.7538346648216248,0.40897130966186523,0.4877065122127533,0.7622594237327576,0.7246251106262207,0.8756037950515747,0.8190986514091492,0.764473557472229,0.7295841574668884,0.8862645030021667,0.8385213613510132
